Α/Α Διαγωνιστικής Διαδικασίας;Συνοπτικός Τίτλος;Τίτλος/Αντικείμενο;Προϋπολογισμός (€ χωρίς ΦΠΑ);Ημ/νία Δημοσίευσης στο Portal;Ημ/νία Έναρξης Υποβολών;Καταληκτική Ημ/νία Υποβολών;Κωδικός CPV;Περιγραφή CPV;Αναθέτουσα Αρχή/Αναθέτων Φορέας;Τόπος Παράδοσης;Κατάσταση;Link
367138;ΑΡ. ΠΡΩΤ. 3411/05-02-2025;''Ανάθεση εργασιών χωματουργικών, φορτοεκφόρτωσης και κοπής παρόδιας βλάστησης με τη χρήση μηχανημάτων έργου, μεταφοράς υλικών με φορτηγά καθώς και αντιμετώπισης εκτάκτων αναγκών Πολιτικής Προστασίας με τη χρήση μηχανημάτων έργου'' για το έτος 2025 και ειδικότερα των τμημάτων εργασίας Β και Δ;50.351;2025-02-05;2025-02-05;2025-02-23;45520000-8,60181000-0;Ενοικίαση εξοπλισμού χωματουργικών εργασιών με χειριστή,Ενοικίαση φορτηγών αυτοκινήτων με οδηγό;ΔΗΜΟΣ ΔΡΑΜΑΣ-, ., ., .;Όπως αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367138
366904;VAN 2025;Αποκατάσταση βλαβών & επεμβάσεις τοπικού χαρακτήρα στο Πρωτεύον Αστικό Οδικό Δίκτυο Περιφέρειας Αττικής 2025;1.008.000;2025-02-05;2025-02-05;2025-03-10;50230000-6;Υπηρεσίες επισκευής, συντήρησης και συναφείς υπηρεσίες για οδούς και λοιπό εξοπλισμό;ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ, ., ΔΙΑΧΕΙΡΙΣΗΣ ΜΗΤΡΟΠΟΛΙΤΙΚΩΝ ΥΠΟΔΟΜΩΝ, 1O ( ΠΡΟΓΡΑΜΜΑΤΟΣ & ΜΕΛΕΤΩΝ));ΣΥΓΓΡΟΥ 15-17 ΑΘΗΝΑ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/366904
366983;Επισκευή ημιρυμουλκούμενου μεταφοράς απορριμμάτων με αυτόνομο σύστημα συμπίεσης;Επισκευή ημιρυμουλκούμενου μεταφοράς απορριμμάτων με αυτόνομο σύστημα συμπίεσης Ήτοι: Η επισκευή ενός (1) ημιρυμουλκούμενου με αυτόνομο σύστημα συμπίεσης με αρ. κυκλοφορίας ΚΗΗ 3909 και αρ.πλαισίου ΧΧ0027, στο οποίο θα πρέπει να εκτελεστούν οι κάτωθι εργασίες (συμπεριλαμβανομένων των απαραίτητων ανταλλακτικών) : 1. Σέρβις κινητήρα ΗΑΤΖ 2. Αλλαγή ιμάντα 3. Αποσύνδεση επισκευή επανασύνδεση μπεκ καυσίμου 4. Ρύθμιση βαλβίδων κινητήρα 5. Αποκατάσταση διαρροής καυσίμου από τον κινητήρα 6. Αλλαγή βαλβίδας πιέσεως λαδιου 7. Αλλαγή βαλβίδας καυσίμου 8. Αντικατάσταση ελαστικών σωλήνων υψηλής πιέσεως 9. Αποσύνδεση επισκευή επανασύνδεση εμβόλου προωθητήρα 10. Αντικατάσταση πείρων εμβόλου 11. Αποκατάσταση λειτουργίας ηλεκτρολογικού πίνακα διαχείρισης υπερκατασκευής 12. Επισκευή κεντρικής καλωδίωσης διαχείρισης υπερκατασκευής 13. Αντικατάσταση ελαιοδεικτών 14. Αντικατάσταση φίλτρων υδραυλικού 15. Αντικατάσταση υδραυλικού ελαίου 16. Αποσύνδεση επισκευή επανασύνδεση φορείων 17. Αντικατάσταση ertalon φορείων 18. Επισκευή πατώματος 19. Αποσύνδεση επισκευή επανασύνδεση πόρτας εκφόρτωσης 20. Αλλαγή ελαστικού στεγανοποίησης πόρτας 21. Αποσύνδεση επισκευή επανασύνδεση εμβολών πόρτας 22. Επισκευή πλαϊνών σώματος 23. Επισκευή μετόπης 24. Αποσύνδεση επισκευή επανασύνδεση πόρτας φόρτωσης και οδηγών 25. Επισκευή πλαϊνών μπαρών ενσφήνωσης 26. Επισκευή οροφής 27. Αποκατάσταση λειτουργίας υδραυλικού κυκλώματος 28. Επισκευή καλωδίωσης 29. Επισκευή καλωδίωσης επαγωγικών 30. Αντικατάσταση επαγωγικών 31. Αποκατάσταση λειτουργίας φώτων επικαθήμενου 32. Καθαρισμός, αμμοβολή, βαφή, τοποθέτηση διακριτικών και ειδικών σημάνσεων στο επικαθήμενο;37.896;2025-02-05;2025-02-05;2025-03-14;34913000-0,50800000-3;Διάφορα ανταλλακτικά,Διάφορες υπηρεσίες επισκευής και συντήρησης;ΔΗΜΟΣ ΔΥΤΙΚΗΣ ΣΑΜΟΥ, ., ΟΙΚΟΝΟΜΙΚΩΝ ΥΠΗΡΕΣΙΩΝ, ΑΠΟΘΗΚΗΣ ΠΡΟΜΗΘΕΙΩΝ ΥΠΗΡΕΣΙΩΝ;Όπως αναφέρεται στους όρους της Διακήρυξης, Αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/366983
366359;69/05-02-2025;ΥΠΗΡΕΣΙΕΣ ΛΕΙΤΟΥΡΓΙΑΣ ΠΑΡΑΛΙΑΣ ΕΛΑΦΟΝΗΣΙΟΥ , ΓΡΑΜΒΟΥΣΑΣ/ΜΠΑΛΟΥ ΚΑΙ ΦΑΛΑΣΑΡΝΩΝ;564.316;2025-02-05;2025-02-05;2025-03-11;98390000-3;Λοιπές υπηρεσίες;AKINHTA MONOMETOXIKH A.E ΔΗΜΟΥ ΚΙΣΣΑΜΟΥ, ., ., ΔΙΟΙΚΗΤΙΚΟ;Όπως αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/366359
364284;Δ/ΞΗ 48/60401/19.12.2024 ΥΠΗΡΕΣΙΕΣ ΣΥΜΒΟΥΛΕΥΤΙΚΗΣ ΥΠΟΣΤΗΡΙΞΗΣ ΕΡΓΩΝ ΟΧΕ;ΥΠΗΡΕΣΙΕΣ ΣΥΜΒΟΥΛΕΥΤΙΚΗΣ ΥΠΟΣΤΗΡΙΞΗΣ ΓΙΑ ΤΗΝ ΩΡΙΜΑΝΣΗ, ΔΙΑΧΕΙΡΙΣΗ ΚΑΙ ΠΑΡΑΚΟΛΟΠΥΘΗΣΗ ΕΡΓΩΝ ΟΧΕ/ΒΑΑ ΔΥΤΙΚΗΣ ΑΘΗΝΑΣ 2021-2027 ΕΣΠΑ κλπ;119.800;2025-02-05;2025-02-05;2025-02-21;79410000-1;Υπηρεσίες παροχής επιχειρηματικών συμβουλών και συμβουλών σε θέματα διαχείρισης;ΔΗΜΟΣ ΑΙΓΑΛΕΩ, ., ΟΙΚΟΝΟΜΙΚΩΝ, ΠΡΟΜΗΘΕΙΩΝ;ΙΕΡΑ ΟΔΟΣ 364 ΑΙΓΑΛΕΩ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/364284
366948;Επαναπροκήρυξη ΥΕ11 Τμήμα ΙΙ Προμήθεια επίπλων γραφείων και χώρων εκπαίδευσης;Αντικείμενο της σύμβασης είναι η προμήθεια επίπλων γραφείων και χώρων εκπαίδευσης και σχετικός εξοπλισμός. Η σύμβαση περιλαμβάνει: την προμήθεια του απαραίτητου εξοπλισμού, τη μεταφορά του σύμφωνα με τις οδηγίες της αρμόδιας Διεύθυνσης Καλλιτεχνικής Εκπαίδευσης, και την παροχή υπηρεσιών εγγύησης και συντήρησης της καλής λειτουργίας του ως άνω εξοπλισμού.;29.393;2025-02-05;2025-02-05;2025-03-04;39150000-8;Διάφορα έπιπλα και εξοπλισμός;ΥΠΟΥΡΓΕΙΟ ΠΟΛΙΤΙΣΜΟΥ, -, -, -;ΠΛΑΤΕΙΑ ΚΑΝΙΓΓΟΣ 20 ΑΘΗΝΑ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/366948
367135;ΤΔ-063/24 ΕΡΓΑΣΙΕΣ ΣΥΝΤΗΡΗΣΗΣ & ΕΠΙΣΚΕΥΗΣ ΑΠΟΣΒΕΣΤΗΡΩΝ;ΕΡΓΑΣΙΕΣ ΣΥΝΤΗΡΗΣΗΣ & ΕΠΙΣΚΕΥΗΣ ΑΠΟΣΒΕΣΤΗΡΩΝ ΣΤΗ ΓΕΦΥΡΑ ΤΟΥ ΣΤΑΘΜΟΥ ΜΑΡΟΥΣΙ ΤΗΣ ΓΡΑΜΜΗΣ 1;59.950;2025-02-05;2025-02-05;2025-02-26;50000000-5;Υπηρεσίες επισκευής και συντήρησης;ΣΤΑΘΕΡΕΣ ΣΥΓΚΟΙΝΩΝΙΕΣ Α.Ε. (ΣΤΑ.ΣΥ. Α.Ε.), ., ., .;Αθηνάς 67 ΑΘΗΝΑ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367135
364417;ΧΕΙΡΟΥΡΓΙΚΟ ΥΛΙΚΟ 2025;ΠΡΟΜΗΘΕΙΑ ΧΕΙΡΟΥΡΓΙΚΟΥ ΥΛΙΚΟΥ 2025;26.755;2025-02-05;2025-02-05;2025-02-24;33169000-2;Χειρουργικά όργανα;Γ.Ν. ΔΙΔΥΜΟΤΕΙΧΟΥ, ., ., ΠΡΟΜΗΘΕΙΩΝ;Διδυμότειχο Διδυμότειχο;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/364417
365815;ΤΔ-125/24 ΠΡΟΜΗΘΕΙΑ ΚΛΕΙΔΑΡΙΩΝ ΚΑΙ ΕΞΑΡΤΗΜΑΤΩΝ;Αντικείμενο της σύμβασης είναι η προμήθεια κλειδαριών και διαφόρων εξαρτημάτων.;58.538;2025-02-05;2025-02-05;2025-02-20;44316000-8,44512000-2,44521100-9,44521110-2,44521140-1,44521210-3,44522200-7,44522400-9,44523000-2,44523100-3,44523300-5;Διάφορα εργαλεία χειρός,Εξαρτήματα,Κλειδαριές,Κλειδαριές για έπιπλα,Κλειδαριές για πόρτες,Κλειδιά,Λουκέτα,Μέρη κλειδαριών,Μεντεσέδες,Μεντεσέδες, συνδέσεις και εξαρτήματα,Σιδηρικά είδη;ΣΤΑΣΥ, ., ., ΔΙΑΓΩΝΙΣΜΩΝ & ΣΥΜΒΑΣΕΩΝ;Όπως αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/365815
367132;Προμήθεια Καυσίμων;Η μελέτη αυτή αφορά την προμήθεια καυσίμων για την κάλυψη συναφών αναγκών της επιχείρησης (κίνηση μεταφορικών μέσων, κ.λ.π) για το έτος 2025-2026.;37.817;2025-02-05;2025-02-05;2025-02-19;09100000-0;Καύσιμα;ΔΗΜΟΤΙΚΗ ΕΠΙΧΕΙΡΗΣΗ ΥΔΡΕΥΣΗΣ - ΑΠΟΧΕΤΕΥΣΗΣ ΣΠΑΡΤΗΣ (Δ.Ε.Υ.Α.Σ.), ., ., .;ΠΛΑΤΕΙΑ ΚΑΝΙΓΓΟΣ 20 ΑΘΗΝΑ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367132
364707;Υλοποίηση των ταξιδίων εξοικείωσης που διοργανώνει ο ΕΟΤ, έτους 2025;Διακήρυξη ανοικτού ηλεκτρονικού διαγωνισμού άνω των ορίων για την επιλογή αναδόχου των υπηρεσιών υλοποίησης των ταξιδίων εξοικείωσης που διοργανώνει ο ΕΟΤ, για χρονικό διάστημα ενός (1) έτους, με κριτήριο κατακύρωσης την πλέον συμφέρουσα από οικονομική άποψη προσφορά, βάσει τιμής (χαμηλότερο διαχειριστικό κόστος);281.440;2025-02-05;2025-02-05;2025-03-05;34980000-0,55100000-1,55320000-9,60171000-7,63514000-5;Ενοικίαση επιβατικών αυτοκινήτων με οδηγό,Ταξιδιωτικά εισιτήρια,Υπηρεσίες ξενάγησης,Υπηρεσίες ξενοδοχείων,Υπηρεσίες παροχής γευμάτων;ΕΛΛΗΝΙΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΤΟΥΡΙΣΜΟΥ, ΠΡΟΒΟΛΗΣ, ΔΙΟΙΚΗΤΙΚΟΥ, ΔΙΟΙΚΗΤΙΚΗΣ ΜΕΡΙΜΝΑΣ, ΠΡΟΜΗΘΕΙΩΝ & ΒΙΒΛΙΟΘΗΚΗΣ;ΠΛΑΤΕΙΑ ΚΑΝΙΓΓΟΣ 20 ΑΘΗΝΑ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/364707
367076;ΣΙΤΙΣΗ ΒΝΣ ΑΓ.ΒΑΡΒΑΡΑΣ;ΠΡΟΜΗΘΕΙΑ ΤΡΟΦΙΜΩΝ ΓΙΑ ΤΗΝ ΚΑΛΥΨΗ ΑΝΑΓΚΩΝ ΣΙΤΙΣΗΣ ΤΩΝ ΠΑΙΔΙΩΝ ΤΟΥ ΒΝΣ ΑΓ.ΒΑΡΒΑΡΑΣ ΑΡΜΟΔΙΟΤΗΤΑΣ Π.Δ.Α. ΔΙΑΡΚΕΙΑΣ ΟΚΤΩ (8) ΜΗΝΩΝ ΑΠΟ ΤΗΝ ΥΠΟΓΡΑΦΗ ΤΗΣ ΣΥΜΒΑΣΗΣ (ΚΑΙ ΜΕΧΡΙ ΤΗΝ 31/12/2025) ΒΑΣΕΙ ΤΙΜΗΣ.;34.172;2025-02-05;2025-02-05;2025-03-12;1500000-8;Τρόφιμα, ποτά, καπνός και συναφή προϊόντα;ΔΗΜΟΣΙΑ ΥΠΗΡΕΣΙΑ ΑΠΑΣΧΟΛΗΣΗΣ, -, -, -;Αναφέρεται στους όρους της Διακήρυξης, ΠΛΑΤΕΙΑ ΚΑΝΙΓΓΟΣ 20 ΑΘΗΝΑ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367076
366838;Δ8137;ΠΡΟΜΗΘΕΙΑ ΒΕΝΖΙΝΗΣ ΑΜΟΛΥΒΔΗΣ ΜΕ ΣΚΟΠΟ ΤΗΝ ΚΑΛΥΨΗ ΤΩΝ ΑΝΑΓΚΩΝ ΚΙΝΗΣΗΣ ΤΟΥ ΙΔΙΟΚΤΗΤΟΥ ΣΤΟΛΟΥ ΤΩΝ ΟΧΗΜΑΤΩΝ ΤΗΣ Ε.ΥΔ.Α.Π. Α.Ε.;562.458;2025-02-05;2025-02-05;2025-03-10;09132100-4;Αμόλυβδη βενζίνη;Ε.ΥΔ.Α.Π., ΟΙΚΟΝΟΜΙΚΟΥ, ΠΡΟΜΗΘΕΙΩΝ, ΥΠΗΡΕΣΙΑ ΔΙΑΓΩΝΙΣΜΩΝ;Αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/366838
367050;ΣΙΤΙΣΗ ΒΝΣ ΜΕΝΙΔΙΟΥ;ΠΡΟΜΗΘΕΙΑ ΤΡΟΦΙΜΩΝ ΓΙΑ ΤΗΝ ΚΑΛΥΨΗ ΑΝΑΓΚΩΝ ΣΙΤΙΣΗΣ ΤΩΝ ΠΑΙΔΙΩΝ ΤΟΥ ΒΝΣ ΜΕΝΙΔΙΟΥ ΑΡΜΟΔΙΟΤΗΤΑΣ Π.Δ.Α. ΔΙΑΡΚΕΙΑΣ ΟΚΤΩ (8) ΜΗΝΩΝ ΑΠΟ ΤΗΝ ΥΠΟΓΡΑΦΗ ΤΗΣ ΣΥΜΒΑΣΗΣ (ΚΑΙ ΜΕΧΡΙ ΤΗΝ 31/12/2025) ΒΑΣΕΙ ΜΟΝΟ ΤΗΣ ΤΙΜΗΣ;40.655;2025-02-05;2025-02-05;2025-03-17;1500000-8;Τρόφιμα, ποτά, καπνός και συναφή προϊόντα;ΔΗΜΟΣΙΑ ΥΠΗΡΕΣΙΑ ΑΠΑΣΧΟΛΗΣΗΣ, -, -, -;Αναφέρεται στους όρους της Διακήρυξης, ΠΛΑΤΕΙΑ ΚΑΝΙΓΓΟΣ 20 ΑΘΗΝΑ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367050
366917;Λειτουργία και Συντήρηση Βιολογικού Καθαρισμού Αλογόμανδρας Μυκόνου;Λειτουργία και Συντήρηση Βιολογικού Καθαρισμού Αλογόμανδρας Μυκόνου;418.000;2025-02-05;2025-02-05;2025-02-21;90481000-2;Λειτουργία σταθμού επεξεργασίας λυμάτων;ΔΗΜΟΤΙΚΗ ΕΠΙΧΕΙΡΗΣΗ ΥΔΡΕΥΣΗΣ ΚΑΙ ΑΠΟΧΕΤΕΥΣΗΣ ΜΥΚΟΝΟΥ, ., ΔΙΟΙΚΗΤΙΚΗ ΥΠΗΡΕΣΙΑ, .;Πλατεία Αγ. Μονής ΜΥΚΟΝΟΣ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/366917
367077;ΑΝΟΙΚΤΟΣ ΔΙΑΓΩΝΙΣΜΟΣ ΓΙΑ ΤΟΝ ΑΠΟ ΕΔΑΦΟΥΣ ΔΟΛΩΜ ΨΕΚΑΣΜΟ ΕΛΑΙΟΔΕΝΔΡΩΝ Ν.ΧΑΛΚΙΔΙΚΗΣ;"Δημόσιος ανοικτός ηλεκτρονικός διαγωνισμός κάτω των ορίων του άρθρου 5 του ν.4412/2016, με κριτήριο κατακύρωσης την πλέον συμφέρουσα προσφορά βάσει τιμής, για την ανάθεση παροχής υπηρεσίας για την ""Ανάδειξη εργολάβων για τον από εδάφους δολωματικό ψεκασμό μέχρι 724.000 ελαιόδεντρων ανά ψεκασμό με έως τέσσερις (4) επαναλήψεις στα πλαίσια του εφαρμογής του Προγράμματος Συλλογικής Καταπολέμησης του Δάκου της ελιάς, για το έτος 2025, στην Περιφερειακή Ενότητα Χαλκιδικής, προϋπολογισμού μέχρι εκατόν είκοσι επτά χιλιάδων πεντακοσίων ευρώ (127.500,00€), μη συμπεριλαμβανομένου του Φ.Π.Α. 13%""";127.500;2025-02-05;2025-02-06;2025-02-28;77100000-1;Γεωργικές υπηρεσίες;ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΧΑΛΚΙΔΙΚΗΣ, ., ΔΙΟΙΚΗΤΙΚΟΥ - ΟΙΚΟΝΟΜΙΚΟΥ, ΠΡΟΣΩΠΙΚΟΥ ΚΑΙ ΜΙΣΘΟΔΟΣΙΑΣ;Β. ΟΛΓΑΣ 198 ΘΕΣΣΑΛΟΝΙΚΗ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367077
366761;Δ03/2025 ΔΔ - ΠΡΟΜΗΘΕΙΑ ΞΕΝΟΔΟΧΕΙΑΚΟΥ ΕΞΟΠΛΙΣΜΟΥ ΝΕΟΥ ΤΕΠ;Διακήρυξη Δημόσιου Ανοιχτού Ηλεκτρονικού διαγωνισμού για την προμήθεια ξενοδοχειακού εξοπλισμού για τις ανάγκες του νέου ΤΕΠ (CPV: 39313000-9), προϋπολογισμού 68.760,00€, μη συμπεριλαμβανομένου ΦΠΑ, με κριτήριο κατακύρωσης την πλέον συμφέρουσα προσφορά μόνο βάσει τιμής.;68.760;2025-02-05;2025-02-05;2025-02-27;39313000-9;Ξενοδοχειακός εξοπλισμός;ΑΤΤΙΚΟΝ, ., ., .;Αβέρωφ 12 Αθήνα, Ρίμινι 1 Χαϊδάρι;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/366761
366911;ΑΝΟΙΚΤΟΣ ΗΛΕΚΤΡΟΝΙΚΟΣ ΔΙΑΓΩΝΙΣΜΟΣ ΑΝΤΙΔΡΑΣΤΗΡΙΩΝ ΑΙΜΟΔΟΣΙΑΣ 01/2025;ΠΡΟΜΗΘΕΙΑ ΑΝΤΙΔΡΑΣΤΗΡΙΩΝ ΑΙΜΑΤΟΛΟΓΙΚΩΝ ΤΕΣΤ;70.000;2025-02-05;2025-02-05;2025-02-20;33696200-7;Αντιδραστήρια αιματολογικών τεστ;Γ.Ν. ΡΟΔΟΥ-Γ.Ν. ΚΩ-Γ.Ν. ΚΑΛΥΜΝΟΥ, ., ., .;Αβέρωφ 12 Αθήνα;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/366911
354156;ΔΑΗΔ_2025_2_για προμήθεια αντιδραστηρίων Βιοχημικού Τμήματος, για ένα (1) έτος;;61.739;2025-02-05;2025-02-05;2025-02-25;33696600-1;Αντιδραστήρια ηλεκτροφόρησης;ΕΛΕΝΑ ΒΕΝΙΖΕΛΟΥ-ΑΛΕΞΑΝΔΡΑ, ., ., .;Πλ. Ελ. Βενιζέλου 2 Αθήνα;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/354156
366275;1031 ΕΠΑΝΑΔΗΜΟΠΡ. ΔΙΑΚΗΡΥΞΗ ΕΡΓΑΣ. ΑΠΟΚΑΤΑΣ. ΛΕΙΤΟΥΡΓ. ΚΕΝΤΡΟΥ ΕΛΕΓΧΟΥ;ΕΡΓΑΣΙΑ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΛΕΙΤΟΥΡΓΙΑΣ ΚΕΝΤΡΟΥ ΕΛΕΓΧΟΥ ΠΟΛΗΣ;59.808;2025-02-05;2025-02-05;2025-02-20;48921000-0;Ηλεκτρονικά συστήματα αυτοματοπίησης;ΔΕΥΑ ΚΕΡΚΥΡΑΣ, ., ., ΠΡΟΜΗΘΕΙΩΝ;Αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/366275
366782;ΔΙΑΚΗΡΥΞΗ ΑΚΤΕΣ ΚΟΛΥΜΒΗΣΗΣ;ΠΑΡΑΚΟΛΟΥΘΗΣΗ ΤΗΣ ΠΟΙΟΤΗΤΑΣ ΤΩΝ ΥΔΑΤΩΝ ΚΟΛΥΜΒΗΣΗΣ ΚΑΙ ΕΝΗΜΕΡΩΣΗ ΤΩΝ ΤΑΥΤΟΤΗΤΩΝ ΤΩΝ ΥΔΑΤΩΝ ΚΟΛΥΜΒΗΣΗΣ ΤΩΝ ΑΚΤΩΝ ΤΗΣ ΠΕΡΙΦΕΡΕΙΑΣ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ, ΓΙΑ ΤΗΝ ΠΕΡΙΟΔΟ 2025-2029.;0;2025-02-05;2025-02-05;2025-03-05;90711500-9;Περιβαλλοντική παρακολούθηση, εκτός αυτής που προορίζεται για κατασκευαστικά έργα;ΕΙΔΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΥΔΑΤΩΝ, ., ., .;ΜΕΣΟΓΕΙΩΝ 119 ΑΘΗΝΑ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/366782
366803;ΓΡΑΦΙΚΗ ΥΛΗ, ΕΝΤΥΠΑ, CD ΔΙΑΚ. 1/2025;ΓΡΑΦΙΚΗ ΥΛΗ, ΕNΤΥΠΑ ΚΑΙ CD ΔΙΑΚ. 1/2025 ΠΡΟΫΠΟΛΟΓΙΣΘΕΙΣΑ ΔΑΠΑΝΗ 59.157,42€;47.707;2025-02-05;2025-02-05;2025-02-21;22820000-4,30192700-8;Έντυπα,Γραφική ύλη;Γ.Ν. ΤΡΙΚΑΛΩΝ, ., ., .;Αβέρωφ 12 Αθήνα;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/366803
366971;Υπηρεσίες Συντήρησης & Υποστήριξης eticket;Παροχή υπηρεσιών υποστήριξης καλής λειτουργίας και συντήρησης του εξοπλισμού των συστημάτων ηλεκτρονικού εισιτηρίου, ελέγχου πρόσβασης κοινού και των σχετικών υπολογιστικών υποδομών (Υποδομή ως Υπηρεσία) για αρχαιολογικούς χώρους και αρχαιολογικά μουσεία;696.667;2025-02-05;2025-02-05;2025-03-12;72000000-5;Υπηρεσίες τεχνολογίας των πληροφοριών: παροχή συμβουλών, ανάπτυξη λογισμικού, Διαδίκτυο και υποστήριξη;ΟΡΓΑΝΙΣΜΟΣ ΔΙΑΧΕΙΡΙΣΗΣ ΚΑΙ ΑΝΑΠΤΥΞΗΣ ΠΟΛΙΤΙΣΤΙΚΩΝ ΠΟΡΩΝ-, ., ., .;ΠΛΑΤΕΙΑ ΚΑΝΙΓΓΟΣ 20 ΑΘΗΝΑ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/366971
366843;ΚΑΥΣΙΜΑ 2025-2026;Προμήθεια καυσίμων Δήμου Σουλίου και των Σχολικών Μονάδων του για τα έτη 2025-2026;469.584;2025-02-05;2025-02-05;2025-03-10;09132100-4,09134100-8,09135100-5;Αμόλυβδη βενζίνη,Πετρέλαιο θέρμανσης,Πετρέλαιο ντίζελ;ΔΗΜΟΣ ΣΟΥΛΙΟΥ, ., ., .;. ΠΑΡΑΜΥΘΙΑ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/366843
365613;ΔΙΑΓ. 66/31.01.2025 ΑΝΑΠΛΑΣΗ ΑΘΛΗΤΙΚΩΝ ΕΓΚΑΤΑΣΤΑΣΕΩΝ;ΔΙΑΓΩΝΙΣΜΟΣ 66/31.01.2025 ΑΝΑΠΛΑΣΗΣ ΑΘΛΗΤΙΚΩΝ ΕΓΚΑΤΑΣΤΑΣΕΩΝ ΠΕΡΙΦΕΡΕΙΑΚΗΣ ΕΝΟΤΗΤΑΣ ΚΕΦΑΛΛΗΝΙΑΣ ΚΑΙ ΙΘΑΚΗΣ ΜΕ ΠΡΟΜΗΘΕΙΑ ΣΥΝΘΕΤΙΚΟΥ ΧΛΟΟΤΑΠΗΤΑ, ΣΥΝΘΕΤΙΚΟΥ ΤΑΠΗΤΑ ΣΤΙΒΟΥ ΚΑΙ ΠΑΡΚΕ ΓΗΠΕΔΟΥ ΚΑΛΑΘΟΣΦΑΙΡΙΣΗΣ CPV: 37421000-5, Τάπητες γυμναστηρίων CPV: 39293400-6, Τεχνητός χορτοτάπητας CPV: 44112240-2, Παρκέ CPV: 45342000-6, Τοποθέτηση περιφράξεων ΠΡΟΫΠΟΛΟΓΙΣΜΟΣ: 2.727.786,72 €;2.199.828;2025-02-04;2025-02-04;2025-03-11;39293400-6;Τεχνητός χορτοτάπητας;ΑΝΑΠΤΥΞΙΑΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΕΥΔΗΜΟΣ ΟΤΑ ΑΕ 0000, ., ., .;Αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/365613
